xk,xpl,xmw,xTe,,,yts,ytt
0.4,0.6,1.4,229.7,,,0,0
0.4,0.6,1.342,240.7,,,0,0.5
0.4,0.6,1.284,251.5,,,0,1
0.4,0.6,1.228,262.1,,,0,1.5
0.4,0.6,1.172,272.5,,,0,2
0.4,0.6,1.117,282.8,,,0,2.5
0.4,0.6,1.063,292.9,,,0,3
0.4,0.6,1.01,302.9,,,0,3.5
0.4,0.6,0.9571,312.8,,,0,4
0.4,0.6,0.9046,322.6,,,0,4.5
0.4,0.6,0.8522,332.5,,,0,5
0.4,0.6,0.7995,342.3,,,0,5.5
0.4,0.6,0.7461,352.4,,,0,6
0.4,0.6,1.35,239.2,,,0.5,0
0.4,0.6,1.295,249.5,,,0.5,0.5
0.4,0.6,1.241,259.6,,,0.5,1
0.4,0.6,1.188,269.6,,,0.5,1.5
0.4,0.6,1.135,279.4,,,0.5,2
0.4,0.6,1.084,289.1,,,0.5,2.5
0.4,0.6,1.033,298.6,,,0.5,3
0.4,0.6,0.9822,308.1,,,0.5,3.5
0.4,0.6,0.9321,317.5,,,0.5,4
0.4,0.6,0.8822,326.9,,,0.5,4.5
0.4,0.6,0.8322,336.2,,,0.5,5
0.4,0.6,0.7818,345.7,,,0.5,5.5
0.4,0.6,0.7306,355.3,,,0.5,6
0.4,0.6,1.305,247.6,,,1,0
0.4,0.6,1.253,257.3,,,1,0.5
0.4,0.6,1.202,266.9,,,1,1
0.4,0.6,1.152,276.3,,,1,1.5
0.4,0.6,1.102,285.6,,,1,2
0.4,0.6,1.053,294.7,,,1,2.5
0.4,0.6,1.005,303.8,,,1,3
0.4,0.6,0.9571,312.8,,,1,3.5
0.4,0.6,0.9094,321.8,,,1,4
0.4,0.6,0.8617,330.7,,,1,4.5
0.4,0.6,0.8139,339.6,,,1,5
0.4,0.6,0.7656,348.7,,,1,5.5
0.4,0.6,0.7164,357.9,,,1,6
0.4,0.6,1.264,255.2,,,1.5,0
0.4,0.6,1.215,264.4,,,1.5,0.5
0.4,0.6,1.167,273.4,,,1.5,1
0.4,0.6,1.12,282.4,,,1.5,1.5
0.4,0.6,1.073,291.2,,,1.5,2
0.4,0.6,1.026,299.9,,,1.5,2.5
0.4,0.6,0.98,308.5,,,1.5,3
0.4,0.6,0.9343,317.1,,,1.5,3.5
0.4,0.6,0.8887,325.6,,,1.5,4
0.4,0.6,0.8431,334.2,,,1.5,4.5
0.4,0.6,0.7972,342.8,,,1.5,5
0.4,0.6,0.7508,351.5,,,1.5,5.5
0.4,0.6,0.7034,360.4,,,1.5,6
0.4,0.6,1.228,262.1,,,2,0
0.4,0.6,1.181,270.8,,,2,0.5
0.4,0.6,1.135,279.4,,,2,1
0.4,0.6,1.09,287.9,,,2,1.5
0.4,0.6,1.045,296.3,,,2,2
0.4,0.6,1.001,304.6,,,2,2.5
0.4,0.6,0.9571,312.8,,,2,3
0.4,0.6,0.9134,321,,,2,3.5
0.4,0.6,0.8697,329.2,,,2,4
0.4,0.6,0.8259,337.4,,,2,4.5
0.4,0.6,0.7818,345.7,,,2,5
0.4,0.6,0.7371,354,,,2,5.5
0.4,0.6,0.6913,362.6,,,2,6
0.4,0.6,1.194,268.4,,,2.5,0
0.4,0.6,1.15,276.7,,,2.5,0.5
0.4,0.6,1.106,284.8,,,2.5,1
0.4,0.6,1.063,292.9,,,2.5,1.5
0.4,0.6,1.021,300.9,,,2.5,2
0.4,0.6,0.9782,308.9,,,2.5,2.5
0.4,0.6,0.9361,316.7,,,2.5,3
