xk,xpl,xmw,xTe,,,yts
0.4,0.6,1.4,229.7,,,0
0.4,0.6,1.342,240.7,,,0.5
0.4,0.6,1.284,251.5,,,1
0.4,0.6,1.228,262.1,,,1.5
0.4,0.6,1.172,272.5,,,2
0.4,0.6,1.117,282.8,,,2.5
0.4,0.6,1.063,292.9,,,3
0.4,0.6,1.01,302.9,,,3.5
0.4,0.6,0.9571,312.8,,,4
0.4,0.6,0.9046,322.6,,,4.5
0.4,0.6,0.8522,332.5,,,5
0.4,0.6,0.7995,342.3,,,5.5
0.4,0.6,0.7461,352.4,,,6
0.4,0.65,1.399,232.7,,,0
0.4,0.65,1.339,243.5,,,0.5
0.4,0.65,1.281,254.1,,,1
0.4,0.65,1.223,264.5,,,1.5
0.4,0.65,1.167,274.7,,,2
0.4,0.65,1.112,284.7,,,2.5
0.4,0.65,1.057,294.5,,,3
0.4,0.65,1.004,304.2,,,3.5
0.4,0.65,0.9506,313.8,,,4
0.4,0.65,0.898,323.3,,,4.5
0.4,0.65,0.8454,332.8,,,5
0.4,0.65,0.7927,342.4,,,5.5
0.4,0.65,0.7393,352,,,6
0.4,0.7,1.399,236.2,,,0
0.4,0.7,1.338,246.8,,,0.5
0.4,0.7,1.278,257.2,,,1
0.4,0.7,1.22,267.3,,,1.5
0.4,0.7,1.163,277.2,,,2
0.4,0.7,1.107,286.9,,,2.5
0.4,0.7,1.052,296.5,,,3
0.4,0.7,0.9981,305.9,,,3.5
0.4,0.7,0.9447,315.2,,,4
0.4,0.7,0.8918,324.4,,,4.5
0.4,0.7,0.8391,333.5,,,5
0.4,0.7,0.7863,342.7,,,5.5
0.4,0.7,0.7329,352,,,6
0.4,0.75,1.4,240.1,,,0
0.4,0.75,1.338,250.4,,,0.5
0.4,0.75,1.277,260.5,,,1
0.4,0.75,1.218,270.4,,,1.5
0.4,0.75,1.16,280,,,2
0.4,0.75,1.103,289.5,,,2.5
0.4,0.75,1.047,298.7,,,3
0.4,0.75,0.9929,307.8,,,3.5
0.4,0.75,0.9391,316.7,,,4
0.4,0.75,0.8859,325.6,,,4.5
0.4,0.75,0.833,334.4,,,5
0.4,0.75,0.78,343.2,,,5.5
0.4,0.75,0.7266,352.1,,,6
0.4,0.8,1.402,244.1,,,0
0.4,0.8,1.338,254.3,,,0.5
0.4,0.8,1.276,264.1,,,1
0.4,0.8,1.215,273.7,,,1.5
0.4,0.8,1.157,283,,,2
0.4,0.8,1.099,292.2,,,2.5
0.4,0.8,1.043,301.1,,,3
0.4,0.8,0.9878,309.8,,,3.5
0.4,0.8,0.9336,318.4,,,4
0.4,0.8,0.8801,326.9,,,4.5
0.4,0.8,0.827,335.3,,,5
0.4,0.8,0.7739,343.8,,,5.5
0.4,0.8,0.7204,352.3,,,6
0.4,0.85,1.403,248.4,,,0
0.4,0.85,1.338,258.2,,,0.5
0.4,0.85,1.275,267.8,,,1
0.4,0.85,1.213,277.1,,,1.5
0.4,0.85,1.153,286.1,,,2
0.4,0.85,1.095,294.9,,,2.5
0.4,0.85,1.038,303.5,,,3
0.4,0.85,0.9826,311.9,,,3.5
0.4,0.85,0.928,320.1,,,4
0.4,0.85,0.8742,328.2,,,4.5
0.4,0.85,0.8208,336.3,,,5
0.4,0.85,0.7676,344.3,,,5.5
0.4,0.85,0.7141,352.4,,,6
0.4,0.9,1.404,252.6,,,0
0.4,0.9,1.338,262.1,,,0.5
0.4,0.9,1.273,271.4,,,1
0.4,0.9,1.21,280.4,,,1.5
0.4,0.9,1.15,289.1,,,2
0.4,0.9,1.091,297.5,,,2.5
0.4,0.9,1.033,305.8,,,3
0.4,0.9,0.9772,313.8,,,3.5
0.4,0.9,0.9222,321.7,,,4
0.4,0.9,0.868,329.4,,,4.5
0.4,0.9,0.8145,337.1,,,5
0.4,0.9,0.7611,344.7,,,5.5
0.4,0.9,0.7076,352.4,,,6
0.4,0.95,1.405,256.7,,,0
0.4,0.95,1.337,266,,,0.5
0.4,0.95,1.271,274.9,,,1
0.4,0.95,1.207,283.6,,,1.5
0.4,0.95,1.146,291.9,,,2
0.4,0.95,1.086,300,,,2.5
0.4,0.95,1.028,307.9,,,3
0.4,0.95,0.9713,315.6,,,3.5
0.4,0.95,0.9159,323.1,,,4
0.4,0.95,0.8615,330.5,,,4.5
0.4,0.95,0.8078,337.8,,,5
0.4,0.95,0.7544,345,,,5.5
0.4,0.95,0.7008,352.3,,,6
0.4,1,1.405,260.7,,,0
0.4,1,1.335,269.6,,,0.5
0.4,1,1.268,278.2,,,1
0.4,1,1.203,286.5,,,1.5
0.4,1,1.141,294.5,,,2
0.4,1,1.08,302.3,,,2.5
0.4,1,1.022,309.8,,,3
0.4,1,0.9649,317.1,,,3.5
0.4,1,0.9092,324.3,,,4
0.4,1,0.8546,331.3,,,4.5
0.4,1,0.8008,338.2,,,5
0.4,1,0.7473,345,,,5.5
0.4,1,0.6938,351.9,,,6
0.5,0.6,1.4,229.7,,,0
0.5,0.6,1.353,238.6,,,0.5
0.5,0.6,1.306,247.4,,,1
0.5,0.6,1.259,256.2,,,1.5
0.5,0.6,1.212,265,,,2
0.5,0.6,1.165,273.8,,,2.5
0.5,0.6,1.118,282.7,,,3
0.5,0.6,1.071,291.5,,,3.5
0.5,0.6,1.023,300.5,,,4
0.5,0.6,0.9749,309.5,,,4.5
0.5,0.6,0.926,318.6,,,5
0.5,0.6,0.8761,328,,,5.5
0.5,0.6,0.8246,337.7,,,6
0.5,0.65,1.399,232.7,,,0
0.5,0.65,1.351,241.4,,,0.5
0.5,0.65,1.303,250.1,,,1
0.5,0.65,1.255,258.7,,,1.5
0.5,0.65,1.208,267.3,,,2
0.5,0.65,1.16,275.9,,,2.5
0.5,0.65,1.112,284.5,,,3
0.5,0.65,1.065,293.2,,,3.5
0.5,0.65,1.017,301.8,,,4
