,y,yhat
0,543.0275,499.68805
1,485.36023,500.47885
2,491.7677,480.3716
3,482.61417,477.42294
4,478.0374,472.8892
5,490.85236,480.58386
6,496.34448,491.07852
7,557.6733,506.77103
8,629.9862,585.4622
9,688.5689,672.12305
10,698.6378,715.3322
11,719.6909,713.4527
12,720.6063,720.5987
13,756.3051,719.57135
14,762.7126,737.5428
15,721.52167,735.43036
16,674.8386,690.1509
17,635.47833,629.5695
18,602.5256,582.0531
19,543.9429,557.38873
20,541.19684,533.8057
21,525.6358,527.4999
22,534.78937,521.65424
23,516.48224,521.66846
24,509.15942,513.4526
25,507.32874,507.2977
26,511.9055,501.962
27,505.49802,499.11594
28,510.99014,495.73407
29,498.1752,507.0106
30,526.55115,518.9709
31,566.8268,576.37744
32,631.8169,644.4393
33,727.92914,707.2866
34,758.1358,761.9493
35,755.3898,768.9338
36,779.189,763.89374
37,783.76575,767.26495
38,758.1358,766.21625
39,752.6437,751.5479
40,767.28937,730.0336
41,725.18304,705.29376
42,664.7697,651.4489
43,543.9429,602.3956
44,519.22833,551.9368
45,530.2126,536.2043
46,548.5197,531.1102
47,499.09055,528.772
48,496.34448,509.90146
49,484.4449,502.3341
50,480.78348,496.0883
51,500.0059,490.26953
52,486.2756,489.20657
53,483.52954,489.18973
54,497.25983,500.52496
55,554.01184,537.2796
56,620.83264,632.07184
57,728.8445,706.07263
58,757.22046,761.02374
59,748.98224,760.9359
60,770.95074,746.3514
61,749.89764,751.4562
62,726.09845,744.57434
63,744.4055,732.6822
64,717.8602,717.5312
65,673.9233,663.83276
66,602.5256,602.55304
67,521.059,555.8044
68,510.0748,527.3354
69,512.82086,520.031
70,503.66733,515.2375
71,510.99014,509.55676
72,491.7677,506.59036
73,522.8898,499.8908
74,500.92126,506.32678
75,520.1437,496.96677
76,521.059,498.88202
77,483.52954,506.03833
78,498.1752,498.27258
79,490.85236,503.7188
80,504.58267,505.7639
81,503.66733,512.153
82,504.58267,508.6436
83,504.58267,505.23166
84,507.32874,506.17874
85,518.313,506.89075
86,542.1122,514.13226
87,546.68896,524.6955
88,514.65155,525.70074
89,500.0059,515.6762
90,515.5669,507.93622
91,505.49802,510.54596
92,491.7677,506.89963
93,500.92126,501.0583
94,515.5669,500.33926
95,508.24408,503.531
96,490.85236,501.61343
97,510.0748,494.3074
98,537.5354,496.4563
99,498.1752,504.3633
100,495.42914,493.56223
101,499.09055,483.25064
102,529.29724,484.04343
103,489.02164,500.9278
104,483.52954,486.58417
105,489.02164,481.50687
106,474.37598,484.8083
107,449.6614,482.54312
108,482.61417,474.31107
109,503.66733,485.63358
110,526.55115,497.02307
111,551.26575,510.80432
112,486.2756,522.33545
113,511.9055,502.82706
114,502.75195,510.3713
115,532.0433,507.66245
116,543.0275,515.7011
117,493.59842,517.4896
118,497.25983,502.87057
119,528.3819,500.563
120,530.2126,504.12573
121,504.58267,502.70258
122,473.46063,493.03275
123,471.6299,476.1288
124,485.36023,473.36768
125,509.15942,497.46304
126,495.42914,542.21783
127,577.81104,540.4938
128,621.74805,645.9725
129,703.2146,702.41156
130,727.0138,753.84625
131,810.31104,764.88727
132,847.8405,786.1973
133,813.05707,795.8364
134,794.75,786.73126
135,814.8878,774.1329
136,778.2736,764.5411
137,689.48425,725.0637
138,643.7165,638.6966
139,579.6417,589.1484
140,593.3721,556.7273
141,523.8051,555.0247
142,505.49802,533.0761
143,496.34448,521.7082
144,534.78937,511.50345
145,534.78937,515.67725
146,521.059,510.89053
147,519.22833,502.45145
148,490.85236,501.06924
149,501.8366,501.30408
150,502.75195,515.17816
151,548.5197,536.99304
152,632.73224,610.9645
153,702.2992,713.3886
154,738.9134,754.64874
155,767.28937,763.87146
156,742.57477,764.161
157,772.7815,748.8308
158,771.8661,763.1184
159,762.7126,761.22186
160,730.6752,747.3297
161,733.42126,708.43774
162,666.6004,669.1081
163,591.5413,610.56256
164,560.4193,566.2295
165,532.0433,548.8373
166,518.313,537.298
167,521.059,528.98724
168,522.8898,523.6745
169,517.39764,519.24963
170,539.3661,513.72906
171,527.4665,515.6227
172,509.15942,511.6258
173,535.7047,504.87653
174,558.5886,530.7723
175,608.0177,592.9477
176,664.7697,681.1226
177,746.2362,735.3899
178,766.37396,778.5201
179,760.8819,780.6902
180,703.2146,771.3301
181,736.1673,741.09937
182,786.51184,751.9767
183,770.0354,764.86743
184,748.0669,741.29175
185,703.2146,696.5848
186,625.4094,630.7646
187,606.187,581.76355
188,566.8268,567.75287
189,532.9586,550.3788
190,510.99014,537.96796
191,568.6575,525.9122
192,535.7047,533.73804
193,501.8366,524.93146
194,542.1122,510.84326
195,518.313,515.55176
196,502.75195,508.01227
197,502.75195,506.0642
198,523.8051,522.4366
199,577.81104,582.0532
200,640.0551,668.60913
201,765.4586,722.7831
202,782.8504,786.39557
203,788.3425,780.96075
204,803.90356,776.42865
205,784.68115,782.03265
206,823.126,774.78516
207,805.73425,781.0876
208,737.08264,762.627
209,687.65356,704.4344
210,625.4094,634.60406
211,596.1181,585.9627
212,564.08075,568.5992
213,526.55115,549.71106
214,556.7579,534.3388
215,546.68896,536.10706
216,503.66733,526.82764
217,496.34448,512.3872
218,499.09055,502.2666
219,495.42914,495.27795
220,495.42914,490.69553
221,524.72046,496.21738
222,505.49802,533.05676
223,544.8582,556.64044
